title,year,clean_title,appearance_count
The Lord of the Rings: The Fellowship of the Ring,,lord of rings fellowship of ring,5
The Lord of the Rings: The Return of the King,,lord of rings return of king,5
The Lord of the Rings: The Two Towers,,lord of rings two towers,5
The Martian,,martian,5
The Menu,2022.0,menu,5
The Nice Guys,,nice guys,5
The Nightmare Before Christmas,,nightmare before christmas,5
The Power of the Dog,,power of dog,5
The Prestige,,prestige,5
The Revenant,2015.0,revenant,5
The Royal Tenenbaums,,royal tenenbaums,5
The Shape of Water,,shape of water,5
The Shawshank Redemption,,shawshank redemption,5
The Shining,,shining,5
The Social Network,,social network,5
The Substance,,substance,5
The Suicide Squad,,suicide squad,5
The Trial of the Chicago 7,,trial of chicago 7,5
The Wolf of Wall Street,,wolf of wall street,5
The Zone of Interest,,zone of interest,5
Thor: Love and Thunder,,thor love and thunder,5
Thor: Ragnarok,,thor ragnarok,5
"Three Billboards Outside Ebbing, Missouri",,three billboards outside ebbing missouri,5
Titanic,1997.0,titanic,5
Triangle of Sadness,,triangle of sadness,5
Turning Red,,turning red,5
TÁR,2022.0,tr,5
Uncut Gems,,uncut gems,5
Us,2019.0,us,5
West Side Story,2021.0,west side story,5
What We Do in the Shadows,,what we do in shadows,5
Whiplash,2014.0,whiplash,5
Wicked,2024.0,wicked,5
Women Talking,,women talking,5
"tick, tick... BOOM!",2021.0,tick tick boom,5
