username,title,year,rating,film_slug
jay,Strange Way of Life,,5,strange-way-of-life
jay,Blood & Gold,,5,blood-gold
jay,Beau Is Afraid,,7,beau-is-afraid
jay,The Super Mario Bros. Movie,,6,the-super-mario-bros-movie
jay,Clock,2023.0,5,clock-2023
jay,Murder Mystery 2,,3,murder-mystery-2
jay,Air,2023.0,7,air-2023
jay,Evil Dead Rise,,7,evil-dead-rise
jay,Bottoms,,6,bottoms
jay,Dungeons & Dragons: Honor Among Thieves,,6,dungeons-dragons-honor-among-thieves
jay,John Wick: Chapter 4,,8,john-wick-chapter-4
jay,Scream VI,,7,scream-vi
jay,Luther: The Fallen Sun,,5,luther-the-fallen-sun
jay,Cocaine Bear,,3,cocaine-bear
jay,"Orlando, My Political Biography",,6,orlando-my-political-biography
jay,Reality,2023.0,7,reality-2023
jay,BlackBerry,2023.0,8,blackberry-2023
jay,Ant-Man and the Wasp: Quantumania,,3,ant-man-and-the-wasp-quantumania
jay,Knock at the Cabin,,5,knock-at-the-cabin
jay,Passages,2023.0,7,passages-2023
jay,Rye Lane,,7,rye-lane
jay,Scrapper,2023.0,8,scrapper-2023
jay,Past Lives,,8,past-lives
jay,Theater Camp,2023.0,6,theater-camp-2023
jay,Polite Society,,5,polite-society
jay,M3GAN,,5,m3gan
jay,Avatar: The Way of Water,,8,avatar-the-way-of-water
jay,Your Christmas or Mine?,,5,your-christmas-or-mine
jay,Troll,2022.0,4,troll-2022
jay,Puss in Boots: The Last Wish,,8,puss-in-boots-the-last-wish
jay,Disenchanted,,3,disenchanted
jay,Stutz,,7,stutz
jay,Talk to Me,2022.0,7,talk-to-me-2022
jay,Black Panther: Wakanda Forever,,6,black-panther-wakanda-forever
jay,Guillermo del Toro's Pinocchio,,8,guillermo-del-toros-pinocchio
jay,"Lyle, Lyle, Crocodile",,4,lyle-lyle-crocodile
jay,Halloween Ends,,5,halloween-ends
jay,The Estate,2022.0,1,the-estate-2022
jay,Roald Dahl's Matilda the Musical,,6,roald-dahls-matilda-the-musical
jay,Hocus Pocus 2,,5,hocus-pocus-2
jay,The Almond and the Seahorse,,3,the-almond-and-the-seahorse
jay,Smile,2022.0,2,smile-2022
jay,Amsterdam,2022.0,3,amsterdam-2022
jay,Do Revenge,,5,do-revenge
jay,Sanctuary,2022.0,7,sanctuary-2022
jay,Sick,2022.0,7,sick-2022
jay,My Policeman,,6,my-policeman
jay,The Good Nurse,,6,the-good-nurse
jay,Catherine Called Birdy,,6,catherine-called-birdy
