username,profile_url,page_found
kurstboy,https://letterboxd.com/kurstboy/,1
schaffrillas,https://letterboxd.com/schaffrillas/,1
jay,https://letterboxd.com/jay/,1
deathproof,https://letterboxd.com/deathproof/,1
davidehrlich,https://letterboxd.com/davidehrlich/,1
