title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity
Arrival,2016.0,arrival,5,329865.0,Arrival,2016-11-10,['Denis Villeneuve'],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg', ""Mark O'Brien"", 'Tzi Ma', 'Abigail Pniowsky', 'Julia Scarlett Dan', 'Jadyn Malone', 'Frank Schorpion']","['Drama', 'Science Fiction', 'Mystery']",en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",7.617,18412,10.0199
Asteroid City,,asteroid city,5,747188.0,Asteroid City,2023-06-08,['Wes Anderson'],"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks', 'Jeffrey Wright', 'Tilda Swinton', 'Bryan Cranston', 'Edward Norton', 'Adrien Brody', 'Liev Schreiber', 'Hope Davis']","['Comedy', 'Drama']",en,"In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",6.453,2167,5.8979
Avengers: Endgame,,avengers endgame,5,299534.0,Avengers: Endgame,2019-04-24,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Josh Brolin', 'Don Cheadle', 'Paul Rudd', 'Benedict Cumberbatch']","['Adventure', 'Science Fiction', 'Action']",en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",8.2,26554,18.6792
Avengers: Infinity War,,avengers infinity war,5,299536.0,Avengers: Infinity War,2018-04-25,"['Joe Russo', 'Anthony Russo']","['Robert Downey Jr.', 'Chris Evans', 'Chris Hemsworth', 'Josh Brolin', 'Mark Ruffalo', 'Scarlett Johansson', 'Don Cheadle', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman']","['Adventure', 'Action', 'Science Fiction']",en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.236,30770,27.925
Baby Driver,,baby driver,5,339403.0,Baby Driver,2017-06-28,['Edgar Wright'],"['Ansel Elgort', 'Kevin Spacey', 'Lily James', 'Jon Hamm', 'Jamie Foxx', 'Jon Bernthal', 'Eiza González', 'Flea', 'CJ Jones', 'Lanny Joon']","['Action', 'Crime']",en,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",7.445,16164,9.0721
Barbie,,barbie,5,346698.0,Barbie,2023-06-18,['Greta Gerwig'],"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Ariana Greenblatt', 'Issa Rae', 'Kate McKinnon', 'Alexandra Shipp', 'Emma Mackey', 'Hari Nef', 'Sharon Rooney']","['Comedy', 'Adventure']",en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",7.0,10129,20.3551
Batman Begins,,batman begins,5,272.0,Batman Begins,2005-06-10,['Christopher Nolan'],"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Mark Boone Junior']","['Drama', 'Crime', 'Action']",en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",7.715,21638,13.9328
Being John Malkovich,,being john malkovich,5,492.0,Being John Malkovich,1999-10-29,['Spike Jonze'],"['John Cusack', 'Cameron Diaz', 'John Malkovich', 'Catherine Keener', 'Orson Bean', 'Mary Kay Place', 'W. Earl Brown', 'Carlos Jacott', 'Willie Garson', 'Byrne Piven']","['Comedy', 'Drama', 'Fantasy']",en,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",7.412,4535,3.1717
Birdman or (The Unexpected Virtue of Ignorance),,birdman or unexpected virtue of ignorance,5,194662.0,Birdman or (The Unexpected Virtue of Ignorance),2014-10-17,['Alejandro González Iñárritu'],"['Michael Keaton', 'Emma Stone', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough', 'Naomi Watts', 'Amy Ryan', 'Lindsay Duncan', 'Merritt Wever', 'Jeremy Shamos']","['Drama', 'Comedy']",en,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",7.452,13094,6.9285
BlacKkKlansman,,blackkklansman,5,487558.0,BlacKkKlansman,2018-08-09,['Spike Lee'],"['John David Washington', 'Adam Driver', 'Topher Grace', 'Laura Harrier', 'Alec Baldwin', 'Jasper Pääkkönen', 'Corey Hawkins', 'Paul Walter Hauser', 'Ryan Eggold', 'Isiah Whitlock, Jr.']","['Crime', 'Comedy', 'Drama', 'History']",en,"Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan.",7.493,7737,3.7062
