title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity
Eighth Grade,,eighth grade,5,489925.0,Eighth Grade,2018-01-19,['Bo Burnham'],"['Elsie Fisher', 'Josh Hamilton', 'Emily Robinson', 'Jake Ryan', 'Daniel Zolghadri', 'Fred Hechinger', 'Imani Lewis', 'Luke Prael', 'Catherine Oliviere', 'Nora Mullins']","['Comedy', 'Drama']",en,Thirteen-year-old Kayla endures the tidal wave of contemporary suburban adolescence as she makes her way through the last week of middle school — the end of her thus far disastrous eighth grade year — before she begins high school.,7.164,1581,2.3932
Elf,,elf,5,10719.0,Elf,2003-11-07,['Jon Favreau'],"['Will Ferrell', 'James Caan', 'Bob Newhart', 'Ed Asner', 'Mary Steenburgen', 'Zooey Deschanel', 'Daniel Tay', 'Faizon Love', 'Peter Dinklage', 'Amy Sedaris']","['Comedy', 'Family', 'Fantasy']",en,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",6.655,4229,3.5569
Elvis,2022.0,elvis,5,614934.0,Elvis,2022-06-22,['Baz Luhrmann'],"['Austin Butler', 'Tom Hanks', 'Olivia DeJonge', 'Helen Thomson', 'Richard Roxburgh', 'Kelvin Harrison, Jr.', 'David Wenham', 'Kodi Smit-McPhee', 'Luke Bracey', 'Dacre Montgomery']","['Drama', 'Music', 'History']",en,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",7.487,3626,4.1245
Enemy,,enemy,5,181886.0,Enemy,2014-03-14,['Denis Villeneuve'],"['Jake Gyllenhaal', 'Mélanie Laurent', 'Sarah Gadon', 'Isabella Rossellini', 'Joshua Peace', 'Tim Post', 'Kedar Brown', 'Darryl Dinn', 'Misha Highstead', 'Megan Mane']","['Thriller', 'Mystery']",en,A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.,6.855,6081,4.657
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,5,38.0,Eternal Sunshine of the Spotless Mind,2004-03-19,['Michel Gondry'],"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst', 'Mark Ruffalo', 'Elijah Wood', 'Tom Wilkinson', 'Jane Adams', 'David Cross', ""Deirdre O'Connell"", 'Thomas Jay Ryan']","['Science Fiction', 'Drama', 'Romance']",en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",8.092,15580,12.479
Everything Everywhere All at Once,,everything everywhere all at once,5,545611.0,Everything Everywhere All at Once,2022-03-24,"['Daniel Scheinert', 'Daniel Kwan']","['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan', 'James Hong', 'Jamie Lee Curtis', 'Tallie Medel', 'Jenny Slate', 'Harry Shum Jr.', 'Biff Wiff', 'Sunita Mani']","['Action', 'Adventure', 'Science Fiction']",en,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",7.755,7172,12.57
Ex Machina,2015.0,ex machina,5,264660.0,Ex Machina,2015-01-21,['Alex Garland'],"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson', 'Claire Selby', 'Symara A. Templeman', 'Gana Bayarsaikhan', 'Tiffany Pisani', 'Elina Alminas']","['Drama', 'Science Fiction']",en,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",7.573,13627,5.5973
First Man,,first man,5,369972.0,First Man,2018-10-10,['Damien Chazelle'],"['Ryan Gosling', 'Claire Foy', 'Jason Clarke', 'Kyle Chandler', 'Corey Stoll', 'Patrick Fugit', 'Christopher Abbott', 'Ciarán Hinds', 'Olivia Hamilton', 'Pablo Schreiber']","['History', 'Drama']",en,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",7.042,5404,3.3659
Flow,2024.0,flow,5,608149.0,Flow,2019-12-05,['Adriaan Lokman'],[],['Animation'],xx,"A turbulent day in a life, painted by air.",8.69,21,0.4086
Ford v Ferrari,,ford v ferrari,5,359724.0,Ford v Ferrari,2019-11-13,['James Mangold'],"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe', 'Josh Lucas', 'Noah Jupe', 'Tracy Letts', 'Remo Girone', 'Ray McKinnon', 'JJ Feild']","['Drama', 'Action', 'History']",en,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",8.006,8403,10.052
Foxcatcher,,foxcatcher,5,87492.0,Foxcatcher,2014-11-14,['Bennett Miller'],"['Steve Carell', 'Channing Tatum', 'Mark Ruffalo', 'Sienna Miller', 'Vanessa Redgrave', 'Anthony Michael Hall', 'Guy Boyd', 'Brett Rice', 'Jackson Frazer', 'Samara Lee']","['Drama', 'Thriller']",en,The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.,6.653,2362,1.3114
Frances Ha,,frances ha,5,121986.0,Frances Ha,2013-05-17,['Noah Baumbach'],"['Greta Gerwig', 'Mickey Sumner', 'Michael Zegen', 'Adam Driver', ""Charlotte d'Amboise"", 'Patrick Heusinger', 'Michael Esper', 'Grace Gummer', 'Josh Hamilton', 'Maya Kazan']","['Comedy', 'Drama']",en,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.",7.348,1709,2.6349
Furiosa: A Mad Max Saga,,furiosa mad max saga,5,786892.0,Furiosa: A Mad Max Saga,2024-05-22,['George Miller'],"['Anya Taylor-Joy', 'Chris Hemsworth', 'Tom Burke', 'Alyla Browne', 'George Shevtsov', 'Lachy Hulme', 'John Howard', 'Angus Sampson', 'Charlee Fraser', 'Elsa Pataky']","['Action', 'Science Fiction', 'Adventure']",en,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",7.5,4289,15.6601
Game Night,,game night,5,445571.0,Game Night,2018-02-15,"['John Francis Daley', 'Jonathan Goldstein']","['Jason Bateman', 'Rachel McAdams', 'Kyle Chandler', 'Sharon Horgan', 'Billy Magnussen', 'Lamorne Morris', 'Kylie Bunbury', 'Jesse Plemons', 'Michael C. Hall', 'Danny Huston']","['Mystery', 'Comedy', 'Crime']",en,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.",6.85,5989,4.9399
Get Out,2017.0,get out,5,419430.0,Get Out,2017-02-24,['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford', 'Caleb Landry Jones', 'Marcus Henderson', 'Betty Gabriel', 'LaKeith Stanfield', 'Stephen Root', 'Lil Rel Howery']","['Mystery', 'Thriller', 'Horror']",en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",7.619,17996,9.6449
Glass Onion,,glass onion,5,661374.0,Glass Onion: A Knives Out Mystery,2022-11-23,['Rian Johnson'],"['Daniel Craig', 'Edward Norton', 'Janelle Monáe', 'Kathryn Hahn', 'Leslie Odom Jr.', 'Kate Hudson', 'Dave Bautista', 'Jessica Henwick', 'Madelyn Cline', 'Noah Segan']","['Comedy', 'Crime', 'Mystery']",en,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,7.0,5989,5.6978
Gone Girl,,gone girl,5,210577.0,Gone Girl,2014-10-01,['David Fincher'],"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry', 'Carrie Coon', 'Kim Dickens', 'Patrick Fugit', 'David Clennon', 'Lisa Banes', 'Missi Pyle']","['Mystery', 'Thriller', 'Drama']",en,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",7.89,19145,17.8464
Good Time,,good time,5,429200.0,Good Time,2017-08-11,"['Benny Safdie', 'Josh Safdie']","['Robert Pattinson', 'Benny Safdie', 'Buddy Duress', 'Taliah Webster', 'Jennifer Jason Leigh', 'Barkhad Abdi', 'Necro', 'Peter Verby', 'Saida Mansoor', 'Gladys Mathon']","['Crime', 'Thriller', 'Drama']",en,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",7.211,2920,2.464
Gravity,2013.0,gravity,5,49047.0,Gravity,2013-10-03,['Alfonso Cuarón'],"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen', 'Phaldut Sharma', 'Amy Warren', 'Basher Savage']","['Science Fiction', 'Thriller', 'Drama']",en,"Dr. Ryan Stone, a brilliant medical engineer, is on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",7.163,15692,5.7456
Guardians of the Galaxy,,guardians of galaxy,5,283995.0,Guardians of the Galaxy Vol. 2,2017-04-19,['James Gunn'],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']","['Science Fiction', 'Adventure', 'Action']",en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,7.612,22131,17.9909
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,5,283995.0,Guardians of the Galaxy Vol. 2,2017-04-19,['James Gunn'],"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']","['Science Fiction', 'Adventure', 'Action']",en,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,7.612,22131,17.9909
Hell or High Water,,hell or high water,5,338766.0,Hell or High Water,2016-08-11,['David Mackenzie'],"['Jeff Bridges', 'Chris Pine', 'Ben Foster', 'Gil Birmingham', 'Marin Ireland', 'Kevin Rankin', 'Dale Dickey', 'William Sterchi', 'Kristen Berg', 'Katy Mixon']","['Western', 'Crime', 'Drama']",en,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,7.302,4606,2.5676
Her,,her,5,152601.0,Her,2013-12-18,['Spike Jonze'],"['Joaquin Phoenix', 'Scarlett Johansson', 'Lynn Adrianna', 'Lisa Renee Pitts', 'Gabe Gomez', 'Chris Pratt', 'Artt Butler', 'May Lindstrom', 'Rooney Mara', 'Bill Hader']","['Romance', 'Science Fiction', 'Drama']",en,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user's every need. To Theodore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",7.848,14654,9.7394
Home Alone,,home alone,5,252171.0,A Girl Walks Home Alone at Night,2014-11-21,['Ana Lily Amirpour'],"['Sheila Vand', 'Arash Marandi', 'Marshall Manesh', 'Mozhan Navabi', 'Dominic Rains', 'Rome Shadanloo', 'Milad Eghbali', 'Reza Sixo Safai', 'Ray Haratian', 'Ana Lily Amirpour']","['Horror', 'Romance']",en,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",6.815,896,1.2853
Home Alone 2: Lost in New York,,home alone 2 lost in new york,5,772.0,Home Alone 2: Lost in New York,1992-11-15,['Chris Columbus'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara"", 'John Heard', 'Brenda Fricker', 'Tim Curry', 'Devin Ratray', 'Gerry Bamman', 'Rob Schneider']","['Comedy', 'Family', 'Adventure']",en,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",6.765,10031,8.9994
I'm Thinking of Ending Things,,im thinking of ending things,5,500840.0,I'm Thinking of Ending Things,2020-08-28,['Charlie Kaufman'],"['Jesse Plemons', 'Jessie Buckley', 'Toni Collette', 'David Thewlis', 'Guy Boyd', 'Hadley Robinson', 'Gus Birney', 'Abby Quinn', 'Colby Minifie', 'Anthony Grasso']","['Mystery', 'Thriller', 'Horror']",en,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,6.582,2027,2.4831
Inception,,inception,5,27205.0,Inception,2010-07-15,['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite']","['Action', 'Science Fiction', 'Adventure']",en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.4,37724,30.0531
Inglourious Basterds,,inglourious basterds,5,16869.0,Inglourious Basterds,2009-08-02,['Quentin Tarantino'],"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Eli Roth', 'Michael Fassbender', 'Diane Kruger', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido']","['Drama', 'Thriller', 'War']",en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",8.214,23049,20.226
Inside Llewyn Davis,,inside llewyn davis,5,86829.0,Inside Llewyn Davis,2013-10-18,"['Joel Coen', 'Ethan Coen']","['Oscar Isaac', 'Carey Mulligan', 'Justin Timberlake', 'Ethan Phillips', 'Robin Bartlett', 'Max Casella', 'Jerry Grayson', 'Jeanine Serralles', 'Adam Driver', 'Stark Sands']","['Drama', 'Music']",en,"In Greenwich Village in the early 1960s, gifted but volatile folk musician Llewyn Davis struggles with money, relationships, and his uncertain future.",7.189,2766,1.8233
Inside Out,2015.0,inside out,5,150540.0,Inside Out,2015-06-17,['Pete Docter'],"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan', 'Paula Poundstone']","['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",en,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",7.912,22644,16.1252
Interstellar,,interstellar,5,157336.0,Interstellar,2014-11-05,['Christopher Nolan'],"['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine', 'Jessica Chastain', 'Casey Affleck', 'Wes Bentley', 'Topher Grace', 'Mackenzie Foy', 'Ellen Burstyn', 'John Lithgow']","['Adventure', 'Drama', 'Science Fiction']",en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.459,37533,52.6876
Isle of Dogs,2018.0,isle of dogs,5,399174.0,Isle of Dogs,2018-03-23,['Wes Anderson'],"['Bryan Cranston', 'Koyu Rankin', 'Bob Balaban', 'Edward Norton', 'Bill Murray', 'Jeff Goldblum', 'Kunichi Nomura', 'Fisher Stevens', 'Akira Takayama', 'Greta Gerwig']","['Adventure', 'Comedy', 'Animation']",en,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island used as a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.",7.847,5085,5.4029
Jaws,,jaws,5,578.0,Jaws,1975-06-20,['Steven Spielberg'],"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary', 'Murray Hamilton', 'Carl Gottlieb', 'Jeffrey Kramer', 'Susan Backlinie', 'Jonathan Filley', 'Ted Grossman']","['Horror', 'Thriller', 'Adventure']",en,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.",7.672,10877,13.6941
Killers of the Flower Moon,,killers of flower moon,5,466420.0,Killers of the Flower Moon,2023-10-18,['Martin Scorsese'],"['Leonardo DiCaprio', 'Robert De Niro', 'Lily Gladstone', 'Jesse Plemons', 'Tantoo Cardinal', 'John Lithgow', 'Brendan Fraser', 'Cara Jade Myers', 'JaNae Collins', 'Jillian Dion']","['Crime', 'History', 'Drama']",en,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",7.4,3689,8.7161
King Richard,,king richard,5,614917.0,King Richard,2021-11-18,['Reinaldo Marcus Green'],"['Will Smith', 'Aunjanue Ellis-Taylor', 'Saniyya Sidney', 'Demi Singleton', 'Jon Bernthal', 'Mikayla LaShae Bartholomew', 'Tony Goldwyn', 'Susie Abromeit', 'Dylan McDermott', 'Judith Chapman']","['Drama', 'History']",en,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",7.625,2638,3.9402
Knives Out,2019.0,knives out,5,546554.0,Knives Out,2019-11-27,['Rian Johnson'],"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon', 'Don Johnson', 'Toni Collette', 'LaKeith Stanfield', 'Christopher Plummer', 'Katherine Langford']","['Comedy', 'Crime', 'Mystery']",en,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",7.843,12992,10.1221
La La Land,,la la land,5,313369.0,La La Land,2016-12-01,['Damien Chazelle'],"['Ryan Gosling', 'Emma Stone', 'John Legend', 'Rosemarie DeWitt', 'J.K. Simmons', 'Amiée Conn', 'Terry Walters', 'Thom Shelton', 'Cinda Adams', 'Callie Hernandez']","['Comedy', 'Drama', 'Romance', 'Music']",en,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",7.899,17400,9.824
Lady Bird,,lady bird,5,391713.0,Lady Bird,2017-09-01,['Greta Gerwig'],"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Lucas Hedges', 'Timothée Chalamet', 'Beanie Feldstein', 'Lois Smith', 'Stephen McKinley Henderson', 'Odeya Rush', 'Jordan Rodrigues']","['Drama', 'Comedy']",en,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",7.256,8737,4.4014
Licorice Pizza,,licorice pizza,5,718032.0,Licorice Pizza,2021-11-26,['Paul Thomas Anderson'],"['Alana Haim', 'Cooper Hoffman', 'Sean Penn', 'Tom Waits', 'Bradley Cooper', 'Benny Safdie', 'Skyler Gisondo', 'Mary Elizabeth Ellis', 'John Michael Higgins', 'Christine Ebersole']","['Drama', 'Comedy', 'Romance']",en,"The story of Gary Valentine and Alana Kane growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",6.963,2403,2.8694
Little Women,2019.0,little women,5,331482.0,Little Women,2019-12-25,['Greta Gerwig'],"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen', 'Laura Dern', 'Timothée Chalamet', 'Tracy Letts', 'Bob Odenkirk', 'James Norton', 'Louis Garrel']","['Drama', 'Romance', 'History']",en,Four sisters come of age in America in the aftermath of the Civil War.,7.865,6497,6.7262
Lost in Translation,,lost in translation,5,153.0,Lost in Translation,2003-09-18,['Sofia Coppola'],"['Bill Murray', 'Scarlett Johansson', 'Akiko Takeshita', 'Kazuyoshi Minamimagoe', 'Kazuko Shibata', 'Take', 'Ryuichiro Baba', 'Akira Yamaguchi', 'Catherine Lambert', 'François du Bois']","['Drama', 'Romance', 'Comedy']",en,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",7.385,7617,9.4395
Mad Max: Fury Road,,mad max fury road,5,76341.0,Mad Max: Fury Road,2015-05-13,['George Miller'],"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Abbey Lee']","['Action', 'Adventure', 'Science Fiction']",en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",7.625,23241,15.2992
Madame Web,,madame web,5,634492.0,Madame Web,2024-02-14,['S.J. Clarkson'],"['Dakota Johnson', 'Sydney Sweeney', 'Isabela Merced', ""Celeste O'Connor"", 'Tahar Rahim', 'Mike Epps', 'Emma Roberts', 'Adam Scott', 'Kerry Bishé', 'Zosia Mamet']","['Action', 'Fantasy']",en,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",5.3,2279,10.961
Manchester by the Sea,,manchester by sea,5,334541.0,Manchester by the Sea,2016-11-17,['Kenneth Lonergan'],"['Casey Affleck', 'Lucas Hedges', 'Michelle Williams', 'Kyle Chandler', 'C.J. Wilson', 'Gretchen Mol', 'Matthew Broderick', 'Anna Baryshnikov', 'Heather Burns', ""Ivy O'Brien""]",['Drama'],en,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",7.548,6056,6.81
Mank,,mank,5,614560.0,Mank,2020-11-13,['David Fincher'],"['Gary Oldman', 'Amanda Seyfried', 'Lily Collins', 'Arliss Howard', 'Tom Pelphrey', 'Sam Troughton', 'Ferdinand Kingsley', 'Tuppence Middleton', 'Tom Burke', 'Joseph Cross']","['Drama', 'History']",en,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,6.688,1671,1.3601
Marcel the Shell with Shoes On,2021.0,marcel shell with shoes on,5,869626.0,Marcel the Shell with Shoes On,2022-06-24,['Dean Fleischer Camp'],"['Jenny Slate', 'Dean Fleischer Camp', 'Isabella Rossellini', 'Joe Gabler', 'Shari Finkelstein', 'Sam Painter', 'Blake Hottle', 'Scott Osterman', 'Jeremy Evans', 'Lesley Stahl']","['Animation', 'Comedy', 'Drama', 'Family']",en,"Marcel is an adorable one-inch-tall shell who ekes out a colorful existence with his grandmother Connie and their pet lint, Alan. Once part of a sprawling community of shells, they now live alone as the sole survivors of a mysterious tragedy. When a documentarian discovers them amongst the clutter of his Airbnb, his resulting short film brings Marcel millions of passionate fans, as well as unprecedented dangers and a new hope at finding his long-lost family.",7.671,626,3.2192
Marriage Story,2019.0,marriage story,5,492188.0,Marriage Story,2019-09-28,['Noah Baumbach'],"['Adam Driver', 'Scarlett Johansson', 'Laura Dern', 'Alan Alda', 'Ray Liotta', 'Julie Hagerty', 'Merritt Wever', 'Azhy Robertson', 'Wallace Shawn', 'Martha Kelly']",['Drama'],en,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",7.733,7122,3.6891
May December,,may december,5,839369.0,May December,2023-11-16,['Todd Haynes'],"['Natalie Portman', 'Julianne Moore', 'Charles Melton', 'Cory Michael Smith', 'Elizabeth Yu', 'Gabriel Chung', 'Piper Curda', 'D.W. Moffett', 'Chris Tenzis', 'Andrea Frankle']",['Drama'],en,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past.",6.583,924,3.1503
Memento,,memento,5,77.0,Memento,2000-10-11,['Christopher Nolan'],"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior', 'Russ Fega', 'Jorja Fox', 'Stephen Tobolowsky', 'Harriet Sansom Harris', 'Thomas Lennon', 'Callum Keith Rennie']","['Mystery', 'Thriller']",en,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",8.2,15419,10.9316
Moonlight,2016.0,moonlight,5,376867.0,Moonlight,2016-10-21,['Barry Jenkins'],"['Trevante Rhodes', 'André Holland', 'Janelle Monáe', 'Ashton Sanders', 'Jharrel Jerome', 'Alex R. Hibbert', 'Jaden Piner', 'Naomie Harris', 'Mahershala Ali', 'Shariff Earp']",['Drama'],en,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",7.371,7230,4.287
Moonrise Kingdom,,moonrise kingdom,5,1049516.0,Exploring the Set of 'Moonrise Kingdom',2015-09-22,['Martin Scali'],"['Martin Scali', 'Wes Anderson', 'Bill Murray', 'Frances McDormand', 'Kara Hayward', 'Jared Gilman', 'Edward Norton', 'Robert D. Yeoman', 'Tilda Swinton', 'Bruce Willis']","['Documentary', 'Comedy']",fr,"Martin Scali, who was Wes Anderson's assistant on ""Fantastic Mr. Fox"", shot this short documentary in Newport, Rhode Island, during the filming of ""Moonrise Kingdom"".",6.125,4,0.1939
Nickel Boys,,nickel boys,5,1028196.0,Nickel Boys,2024-12-13,['RaMell Ross'],"['Ethan Herisse', 'Brandon Wilson', 'Aunjanue Ellis-Taylor', 'Hamish Linklater', 'Gralen Bryant Banks', 'Fred Hechinger', 'Jimmie Fails', 'Luke Tennie', 'Bryan Gael Guzman', 'Ethan Cole Sharp']",['Drama'],en,Chronicles the powerful friendship between two young Black teenagers navigating the harrowing trials of reform school together in Florida.,6.599,273,4.6023
