title,year,clean_title,appearance_count
Alien³,,alien,31
The Evil Dead,,evil dead,29
Final Destination,,final destination,26
Anora,,anora,19
Arrival,2016.0,arrival,19
Baby Driver,,baby driver,19
Barbie,,barbie,19
Bottoms,,bottoms,19
Challengers,,challengers,19
Deadpool,,deadpool,19
Drive,2011.0,drive,19
Dune,2021.0,dune,19
Dune: Part Two,,dune part two,19
Enemy,,enemy,19
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,19
Everything Everywhere All at Once,,everything everywhere all at once,19
Furiosa: A Mad Max Saga,,furiosa mad max saga,19
Get Out,2017.0,get out,19
Glass Onion,,glass onion,19
Gone Girl,,gone girl,19
Inception,,inception,19
Inglourious Basterds,,inglourious basterds,19
Jaws,,jaws,19
Knives Out,2019.0,knives out,19
La La Land,,la la land,19
Lady Bird,,lady bird,19
Mad Max: Fury Road,,mad max fury road,19
Nightcrawler,,nightcrawler,19
Nope,,nope,19
Nosferatu,2024.0,nosferatu,19
Once Upon a Time... in Hollywood,,once upon time in hollywood,19
Oppenheimer,2023.0,oppenheimer,19
Parasite,2019.0,parasite,19
Pulp Fiction,,pulp fiction,19
Scott Pilgrim vs. the World,,scott pilgrim vs world,19
Shiva Baby,2020.0,shiva baby,19
Tenet,,tenet,19
Texas Chainsaw Massacre,,texas chainsaw massacre,19
The Dark Knight,,dark knight,19
The Favourite,,favourite,19
The Grand Budapest Hotel,,grand budapest hotel,19
The Holdovers,,holdovers,19
The Killer,2023.0,killer,19
The Lobster,,lobster,19
The Menu,2022.0,menu,19
The Shining,,shining,19
The Social Network,,social network,19
The Substance,,substance,19
"Three Billboards Outside Ebbing, Missouri",,three billboards outside ebbing missouri,19
Uncut Gems,,uncut gems,19
Us,2019.0,us,19
Whiplash,2014.0,whiplash,19
10 Cloverfield Lane,,10 cloverfield lane,18
A Quiet Place,2018.0,quiet place,18
Aftersun,,aftersun,18
Anatomy of a Fall,,anatomy of fall,18
Ant-Man,,antman,18
Avatar,,avatar,18
Avatar: The Way of Water,,avatar way of water,18
Avengers: Endgame,,avengers endgame,18
Avengers: Infinity War,,avengers infinity war,18
Barbarian,2022.0,barbarian,18
Batman Begins,,batman begins,18
Before Sunrise,,before sunrise,18
