title,year,clean_title,appearance_count,tmdb_id,tmdb_title,release_date,directors,cast,genres,original_language,overview,vote_average,vote_count,popularity,directors_main,directors_other,cast_main,cast_other
Blink,2022.0,blink,6,934707.0,Blink,2022-03-13,['Spenser Cohen'],"['Alicia Coppola', 'Scot Nery', 'Sophie Thatcher']",['Horror'],en,"After being violently pushed from a window, Mary wakes up in the hospital, almost completely paralyzed. Trapped inside the prison of her own body, Mary's only way to communicate is by blinking her eyes. She tries to warn the nurse that a sinister, inhuman force is trying to kill her. But when strange things begin happening around her, she realizes it may be too late to stop it.",7.114,22,0.274,['Spenser Cohen'],[],['Sophie Thatcher'],"['Alicia Coppola', 'Scot Nery']"
Blocks,2020.0,blocks,6,654957.0,Blocks,2020-01-23,['Bridget Moloney'],"['Claire Coffee', 'Mark Webber', 'Ruha Taslimi', 'Phoebe Sinclair', 'George Sinclair']",['Comedy'],en,An existential comedy about the mother of two young children who begins to spontaneously vomit plastic toy blocks.,6.2,8,0.0409,[],['Bridget Moloney'],['Mark Webber'],"['Claire Coffee', 'Ruha Taslimi', 'Phoebe Sinclair', 'George Sinclair']"
Blood Ties,2013.0,blood ties,6,190955.0,Blood Ties,2013-08-22,['Guillaume Canet'],"['Clive Owen', 'Billy Crudup', 'Marion Cotillard', 'Mila Kunis', 'Zoe Saldaña', 'Matthias Schoenaerts', 'James Caan', 'Noah Emmerich', 'Lili Taylor', 'Domenick Lombardozzi']","['Thriller', 'Crime', 'Drama']",en,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",6.118,480,1.6902,['Guillaume Canet'],[],"['Clive Owen', 'Billy Crudup', 'Marion Cotillard', 'Mila Kunis', 'Zoe Saldaña', 'Matthias Schoenaerts', 'James Caan', 'Noah Emmerich', 'Lili Taylor', 'Domenick Lombardozzi']",[]
Blood of My Blood,2015.0,blood of my blood,6,314460.0,Blood of My Blood,2015-04-22,"['Jérémie Reichenbach', 'Lucero Sánchez Novaro']",[],['Documentary'],es,"In Argentina, the daily life of the Mapuche families, where the men work in a self-managed abattoir.",5.0,1,0.0536,[],"['Jérémie Reichenbach', 'Lucero Sánchez Novaro']",[],[]
Blue Moon,2025.0,blue moon,6,1299655.0,Blue Moon,2025-10-17,['Richard Linklater'],"['Ethan Hawke', 'Margaret Qualley', 'Bobby Cannavale', 'Andrew Scott', 'Jonah Lees', 'Simon Delaney', ""Cillian O'Sullivan"", 'Patrick Kennedy', 'Caitríona Ennis', 'Ian Dillon']","['Drama', 'Music', 'History']",en,"On the evening of March 31, 1943, legendary lyricist Lorenz Hart confronts his shattered self-confidence in Sardi’s bar as his former collaborator Richard Rodgers celebrates the opening night of his ground-breaking hit musical “Oklahoma!”.",0.0,0,2.7058,['Richard Linklater'],[],"['Ethan Hawke', 'Margaret Qualley', 'Bobby Cannavale', 'Andrew Scott', 'Jonah Lees', 'Patrick Kennedy']","['Simon Delaney', ""Cillian O'Sullivan"", 'Caitríona Ennis', 'Ian Dillon']"
Boarding School,2018.0,boarding school,6,531145.0,Boarding School,2018-08-30,['Boaz Yakin'],"['Luke Prael', 'Sterling Jerins', 'Nadia Alexander', 'Tammy Blanchard', 'Lucy Walters', 'Samantha Mathis', 'Will Patton', 'David Aaron Baker', 'Robert John Burke', 'Christopher Dylan White']","['Horror', 'Mystery']",en,"When troubled 12-year-old Jacob Felsen is sent away to boarding school, he enters every kid’s worst nightmare: a creepy old mansion, deserted except for six other teenage misfits and two menacing and mysterious teachers. As events become increasingly horrific, Jacob must conquer his fears to find the strength to survive.",6.36,222,0.7542,['Boaz Yakin'],[],"['Sterling Jerins', 'Tammy Blanchard', 'Lucy Walters', 'Samantha Mathis', 'Will Patton', 'David Aaron Baker', 'Robert John Burke']","['Luke Prael', 'Nadia Alexander', 'Christopher Dylan White']"
Boo,1932.0,boo,6,150340.0,Boo,1932-12-01,['Albert DeMond'],"['Morton Lowry', 'Mae Clarke', 'Lawrence Grant', 'Raymond Hackett', 'Elizabeth Patterson', 'Max Schreck', 'Helen Twelvetrees', 'Edward Van Sloan', 'Gustav von Wangenheim', 'Boris Karloff']","['Horror', 'Comedy']",en,A wisecracking narrator mocks footage featuring Frankenstein's monster and Count Dracula.,5.091,12,0.101,[],['Albert DeMond'],"['Morton Lowry', 'Mae Clarke', 'Lawrence Grant', 'Elizabeth Patterson', 'Edward Van Sloan', 'Boris Karloff']","['Raymond Hackett', 'Max Schreck', 'Helen Twelvetrees', 'Gustav von Wangenheim']"
Bound,2015.0,bound,6,316410.0,Bound,2015-01-09,['Jared Cohn'],"['Charisma Carpenter', 'Bryce Draper', 'Daniel Baldwin', 'Morgan Obenreder', 'Michael Monks', 'Andy T. Tran', 'Mark McClain Wilson', 'Hayley McLaughlin', 'Noel Arthur', 'Steffinnie Phrommany']","['Thriller', 'Drama']",en,"The daughter of a wealthy real estate mogul falls in love with a younger man, and she is introduced to the world of BDSM. With her newly awakened sexual prowess, she is finally able to take control of her life.",3.771,83,2.2136,['Jared Cohn'],[],['Daniel Baldwin'],"['Charisma Carpenter', 'Bryce Draper', 'Morgan Obenreder', 'Michael Monks', 'Andy T. Tran', 'Mark McClain Wilson', 'Hayley McLaughlin', 'Noel Arthur', 'Steffinnie Phrommany']"
Break Free,2014.0,break free,6,336033.0,Break Free,2014-07-14,['Phillip Lopez'],['Ruby Rose'],['Documentary'],en,"A short film about gender roles, Trans, and what it is like to have an identity that deviates from the status quo.",7.391,23,0.1395,[],['Phillip Lopez'],['Ruby Rose'],[]
Breakfast,1974.0,breakfast,6,164.0,Breakfast at Tiffany's,1961-10-06,['Blake Edwards'],"['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen', 'Martin Balsam', 'José Luis de Vilallonga', 'John McGiver', 'Dorothy Whitney', 'Stanley Adams', 'Elvia Allman']","['Comedy', 'Romance', 'Drama']",en,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",7.642,4292,4.3616,['Blake Edwards'],[],"['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen', 'Martin Balsam', 'José Luis de Vilallonga', 'John McGiver', 'Stanley Adams', 'Elvia Allman']",['Dorothy Whitney']
