input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue,directors_other,cast_other,keywords_other
The Dreamers,Unknown,True,1278,The Dreamers,2003-10-10,115.0,Drama; Romance,Bernardo Bertolucci,Michael Pitt; Eva Green; Anna Chancellor; Jean-Pierre Léaud,"hotel; first time; paris, france; love triangle; students' movement; sexuality; bathing; flat; riot; crush; american; twins; incest; polyamory",HanWay Films; Recorded Picture Company; Fiction; Peninsula Films,en,15000000.0,15100000.0,,Louis Garrel; Robin Renucci; Jean-Pierre Kalfon; Florian Cadiou; Pierre Hancisse; Valentin Merlet,
The Disappearance of Eleanor Rigby: Her,Unknown,True,275060,The Disappearance of Eleanor Rigby: Her,2014-10-10,100.0,Drama; Romance,Ned Benson,Jessica Chastain; James McAvoy; Viola Davis; Isabelle Huppert; William Hurt; Jess Weixler; Bill Hader; Katherine Waterston; Nina Arianda,new york city; loss of loved one; couple,Myriad Pictures; Unison Films; Division Films; Dreambridge Films,en,0.0,103815.0,,Sasha Eden,
The Driver,Unknown,True,950194,The Driver,2021-09-01,0.0,Action; Crime,,,Unknown,ITN Distribution,es,0.0,0.0,Michael Lazar,Michael Lazar; Noha Amer; Rich Hevner; Allison Hill; Daniel R. Lyon III; Ray Spicher,
The Dressmaker,2015.0,True,298382,The Dressmaker,2015-10-29,118.0,Drama; Comedy; Western,,Kate Winslet; Liam Hemsworth; Caroline Goodall; Judy Davis; Hugo Weaving; Sarah Snook,australia; small town; based on novel or book; suppressed past; dark comedy; bullying; exile; dressmaker; revenge; accidental death; house fire; hometown; brother sister; costume designer; fashion design; woman director; australian outback; accused of murder; 1950s; return to hometown,White Hot Productions; Screen Australia; Film Art Media; Embankment Films; Ingenious Media; Universal Pictures,en,11930000.0,25003426.0,Jocelyn Moorhouse,Hayley Magnus; Kerry Fox; Shane Jacobson; Rebecca Gibney,dressing; cross dresser; suppressed memory; evening gown; odd crowd; town gossip; revenge tragedy; grain silo
The Dropout,Unknown,True,1124086,The Dropout,2023-04-25,5.0,Comedy; Drama,,,Unknown,Midnight Eye Productions; SAIT Polytechnic; SMS Films,en,1000.0,0.0,Sarah Stobbe,Dante Laratta; Sarah Stobbe; Matt Watterworth; Em Froome; Spencer Poole; Kat Hill,
The Disaster Artist,Unknown,True,371638,The Disaster Artist,2017-03-12,104.0,Comedy; Drama,,Dave Franco; James Franco; Seth Rogen; Ari Graynor; Alison Brie; Jacki Weaver; Zac Efron; Josh Hutcherson,immigrant; jealousy; based on novel or book; ambition; biography; based on true story; behind the scenes; disaster; hollywood; desire; aftercreditsstinger; duringcreditsstinger; wealthy man; strange person; socially awkward; film production,New Line Cinema; Rabbit Bandini Productions; Point Grey Pictures; Good Universe; RatPac Entertainment; Ramona Films,en,10000000.0,29820616.0,James Franco,Paul Scheer; June Diane Raphael,strange behavior
The Duchess,Unknown,True,12783,The Duchess,2008-09-05,110.0,Drama; History; Romance,,Keira Knightley; Ralph Fiennes; Charlotte Rampling; Dominic Cooper; Hayley Atwell; Simon McBurney; John Shrapnel; Patrick Godfrey,"adultery; infidelity; london, england; husband wife relationship; politics; marriage crisis; gambling debt; duke; biography; based on true story; unfaithfulness; royalty; historical fiction; period drama; aristocrat; 18th century; duchess; costume drama",Pathé Renn Productions; BBC Film; BiM Distribuzione; Qwerty Films; Magnolia Mae Films,en,17759769.0,43306325.0,Saul Dibb,Aidan McArdle; Alistair Petrie,philanderer
The Duellists,Unknown,True,19067,The Duellists,1977-08-31,100.0,Drama; War,Ridley Scott,Keith Carradine; Harvey Keitel; Albert Finney; Alun Armstrong,fencing; cossack; napoleonic wars; based on short story; pistol duel; sword duel; 19th century,Enigma Productions; Paramount Pictures,en,900000.0,0.0,,Edward Fox; Cristina Raines; Robert Stephens; Tom Conti; John McEnery; Diana Quick,waterloo; strasbourg
The Earrings of Madame de...,Unknown,True,27030,The Earrings of Madame de...,1953-09-16,105.0,Drama; Romance,,,italian; countess; debt; 19th century,Franco London Films; Indusfilms; Rizzoli Film,fr,0.0,0.0,Max Ophüls,Charles Boyer; Danielle Darrieux; Vittorio De Sica; Jean Debucourt; Jean Galland; Mireille Perrey; Paul Azaïs; Jacques Josselin; Hubert Noël; Lia Di Leo,earring
The Duke of Burgundy,Unknown,True,250225,The Duke of Burgundy,2014-10-18,104.0,Drama; Mystery; Romance,Peter Strickland,,sadomasochism; lesbian relationship; butterfly; autumn; erotic movie,Pioneer Pictures; Rook Films; Film4 Productions; Ripken Productions; BFI; Protagonist Pictures; Ingenious Media,en,1000000.0,0.0,,Sidse Babett Knudsen; Chiara D'Anna; Eugenia Caruso; Zita Kraszkó; Monica Swinn; Eszter Tompa; Fatma Mohamed; Bartsch Kata; Gretchen Meddaugh,dominance submissiveness
The East,Unknown,True,87499,The East,2013-05-31,116.0,Drama; Thriller,,Alexander Skarsgård; Elliot Page; Toby Kebbell; Shiloh Fernandez; Aldis Hodge; Danielle Macdonald; Patricia Clarkson; Jason Ritter,secret organization; murder; eco terrorism; environmentalism,TSG Entertainment; Scott Free Productions,en,6500000.0,2401510.0,Zal Batmanglij,Brit Marling; Hillary Baack,
The Edge,Unknown,True,617342,The Edge,2019-07-22,95.0,Documentary,,Toby Jones,Unknown,Noah Media Group,en,0.0,0.0,Barney Douglas,Alastair Cook; Andrew Flower; Andrew Strauss; David Saker; Graeme Swann; Ian Bell; James Anderson; Jonathan Trott; Kevin Pietersen,
The Edge of Seventeen,Unknown,True,376660,The Edge of Seventeen,2016-11-18,105.0,Comedy; Drama,,Hailee Steinfeld; Woody Harrelson; Haley Lu Richardson; Kyra Sedgwick,"high school; friendship; sibling relationship; portland, oregon; coming of age; teen angst; loneliness; teenage girl; best friend; dating; woman director; generation z",Tang Media Productions; Gracie Films; STXfilms; Huayi Brothers Pictures,en,9000000.0,18803648.0,Kelly Fremon Craig,Blake Jenner; Hayden Szeto; Alexander Calvert; Eric Keenleyside; Nesta Cooper; Meredith Monroe,
The Dukes of Hazzard,Unknown,True,6519,The Dukes of Hazzard,2005-08-05,104.0,Comedy; Adventure; Action,,Johnny Knoxville; Seann William Scott; Burt Reynolds; M.C. Gainey; David Koechner,farm; sheriff; bikini; redneck,WV Films III; Village Roadshow Pictures; Gerber Pictures; Warner Bros. Pictures,en,50000000.0,110803676.0,Jay Chandrasekhar,Jessica Simpson; Willie Nelson; James Roday Rodriguez; Michael Weston; Nikki Griffin,moonshine
The Emoji Movie,Unknown,True,378236,The Emoji Movie,2017-07-23,86.0,Animation; Family; Comedy,Tony Leondis,T.J. Miller; James Corden; Anna Faris; Maya Rudolph; Steven Wright; Jennifer Coolidge; Jake T. Austin; Sofía Vergara; Patrick Stewart,villain; parody; 3d animation,Columbia Pictures; Sony Pictures Animation; LStar Capital,en,50000000.0,216909830.0,,Christina Aguilera,emoji
The Drop,2014.0,True,154400,The Drop,2014-09-12,106.0,Drama; Crime,,Tom Hardy; Noomi Rapace; James Gandolfini; Matthias Schoenaerts; John Ortiz; Ann Dowd,"robbery; hitman; winter; blackmail; crime boss; bartender; mobster; organized crime; pitbull; church; catholic; brooklyn, new york city; ex-con; psychotic; taunting; questioning; super bowl; unassuming; satirical; reflective; vindictive; wistful; sentimental; witty; whimsical; sarcastic; sympathetic; tragic; vibrant",Fox Searchlight Pictures; Chernin Entertainment; TSG Entertainment; Ingenious Media,en,12600000.0,19054534.0,Michaël R. Roskam,Michael Aronov; James Frecheville; Elizabeth Rodriguez; Tobias Segal,abandoned puppy
The Emperor's New Groove,Unknown,True,11688,The Emperor's New Groove,2000-12-15,78.0,Adventure; Animation; Comedy; Family; Fantasy,Mark Dindal,David Spade; John Goodman; Patrick Warburton; Wendie Malick; Bob Bergen; Rodger Bumpass,central and south america; kingdom; birthday; peru; emperor; villain; palace; breaking the fourth wall; assassination attempt; 15th century; hilarious,Walt Disney Pictures; Walt Disney Feature Animation,en,100000000.0,169327687.0,,Eartha Kitt; Kellyann Kelso; Eli Russell Linnetz; Stephen J. Anderson,berater; incan empire
The Elephant Man,Unknown,True,1955,The Elephant Man,1980-10-09,124.0,Drama; History,David Lynch,Anthony Hopkins; John Hurt; Anne Bancroft; John Gielgud,exploitation; biography; based on true story; hospital; black and white; curiosity; disfigurement; 19th century,Brooksfilms,en,5000000.0,26000000.0,,Wendy Hiller; Freddie Jones; Michael Elphick; Hannah Gordon; Helen Ryan; John Standing,sideshow; deformed; physical deformity; freak; dignity
The Empty Man,Unknown,True,516632,The Empty Man,2020-10-22,137.0,Horror; Mystery; Thriller,,James Badge Dale; Marin Ireland; Evan Jonigkeit; Ron Canada,experiment; detective; cave; missouri; investigation; bridge; cult; based on comic; ex-cop; hospital; based on graphic novel; alcoholic; bhutan; missing person; occult; cosmic horror,BOOM! Studios; Out of Africa Entertainment; 20th Century Fox,en,16000000.0,4796993.0,David Prior,Sasha Frolova; Samantha Logan; Virginia Kull; Robert Aramayo; Jessica Matten; Aaron Poole,folk lore
