title,year,clean_title,appearance_count
Spider-Man: Into the Spider-Verse,,spiderman into spiderverse,5
Spider-Man: No Way Home,,spiderman no way home,5
Spotlight,,spotlight,5
Star Wars,,star wars,5
Star Wars: The Force Awakens,,star wars force awakens,5
Star Wars: The Last Jedi,,star wars last jedi,5
Superman,2025.0,superman,5
Ted,,ted,5
Tenet,,tenet,5
The Avengers,2012.0,avengers,5
The Banshees of Inisherin,,banshees of inisherin,5
The Batman,,batman,5
The Beast,,beast,5
The Brutalist,,brutalist,5
The Dark Knight,,dark knight,5
The Dark Knight Rises,,dark knight rises,5
The Empire Strikes Back,,empire strikes back,5
The Evil Dead,,evil dead,5
The Fabelmans,,fabelmans,5
The Father,2020.0,father,5
The Favourite,,favourite,5
The Florida Project,,florida project,5
The Grand Budapest Hotel,,grand budapest hotel,5
The Holdovers,,holdovers,5
The Irishman,2019.0,irishman,5
The Killer,2023.0,killer,5
The Lego Batman Movie,,lego batman movie,5
The Lighthouse,2019.0,lighthouse,5
The Lobster,,lobster,5
The Lord of the Rings: The Fellowship of the Ring,,lord of rings fellowship of ring,5
The Lord of the Rings: The Return of the King,,lord of rings return of king,5
The Lord of the Rings: The Two Towers,,lord of rings two towers,5
The Matrix,,matrix,5
The Menu,2022.0,menu,5
The Nice Guys,,nice guys,5
The Northman,,northman,5
The Prestige,,prestige,5
The Revenant,2015.0,revenant,5
The Shape of Water,,shape of water,5
The Shining,,shining,5
The Silence of the Lambs,,silence of lambs,5
The Social Network,,social network,5
The Substance,,substance,5
The Suicide Squad,,suicide squad,5
The Unbearable Weight of Massive Talent,,unbearable weight of massive talent,5
The Whale,2022.0,whale,5
The Wolf of Wall Street,,wolf of wall street,5
The Zone of Interest,,zone of interest,5
Thor: Love and Thunder,,thor love and thunder,5
Thor: Ragnarok,,thor ragnarok,5
"Three Billboards Outside Ebbing, Missouri",,three billboards outside ebbing missouri,5
Top Gun,,top gun,5
Top Gun: Maverick,,top gun maverick,5
Toy Story 3,,toy story 3,5
Trap,2024.0,trap,5
TÁR,2022.0,tr,5
Uncut Gems,,uncut gems,5
Up,,up,5
Us,2019.0,us,5
WALL·E,,walle,5
Wallace & Gromit: Vengeance Most Fowl,,wallace gromit vengeance most fowl,5
What We Do in the Shadows,,what we do in shadows,5
Whiplash,2014.0,whiplash,5
