username,title,year,rating,film_slug,tmdb_id
kurstboy,Hairspray,2007.0,5,hairspray-2007,
kurstboy,Ratatouille,,10,ratatouille,
kurstboy,Live Free or Die Hard,,4,live-free-or-die-hard,
kurstboy,Fantastic Four: Rise of the Silver Surfer,,1,fantastic-four-rise-of-the-silver-surfer,
kurstboy,Surf's Up,,9,surfs-up,
kurstboy,Hostel: Part II,,4,hostel-part-ii,
kurstboy,Ocean's Thirteen,,4,oceans-thirteen,
kurstboy,Persepolis,,8,persepolis,
kurstboy,Death Proof,,9,death-proof,
kurstboy,The Orphanage,,8,the-orphanage,
kurstboy,Pirates of the Caribbean: At World's End,,6,pirates-of-the-caribbean-at-worlds-end,
kurstboy,No Country for Old Men,,9,no-country-for-old-men,
kurstboy,Water Lilies,,8,water-lilies,
kurstboy,Shrek the Third,,4,shrek-the-third,
kurstboy,Meet the Robinsons,,4,meet-the-robinsons,
kurstboy,Superbad,,8,superbad,
kurstboy,Wild Hogs,,3,wild-hogs,
kurstboy,Zodiac,,10,zodiac,
kurstboy,Hot Fuzz,,10,hot-fuzz,
kurstboy,Smiley Face,,10,smiley-face,
kurstboy,Jump In!,,4,jump-in,
kurstboy,Night at the Museum,,6,night-at-the-museum,
kurstboy,Charlotte's Web,2006.0,4,charlottes-web-2006,
kurstboy,Casino Royale,2006.0,9,casino-royale-2006,
kurstboy,Happy Feet,,8,happy-feet,
kurstboy,The Santa Clause 3: The Escape Clause,,1,the-santa-clause-3-the-escape-clause,
kurstboy,Flushed Away,,8,flushed-away,
kurstboy,The Prestige,,9,the-prestige,
kurstboy,Open Season,,3,open-season,
kurstboy,The Departed,,9,the-departed,
kurstboy,For Your Consideration,,5,for-your-consideration,
kurstboy,Inland Empire,,9,inland-empire,
kurstboy,Children of Men,,9,children-of-men,
kurstboy,Paprika,2006.0,8,paprika-2006,
kurstboy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,8,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,
kurstboy,Tales from Earthsea,,4,tales-from-earthsea,
kurstboy,The Ant Bully,,2,the-ant-bully,
kurstboy,Talladega Nights: The Ballad of Ricky Bobby,,5,talladega-nights-the-ballad-of-ricky-bobby,
kurstboy,Pirates of the Caribbean: Dead Man's Chest,,4,pirates-of-the-caribbean-dead-mans-chest,
kurstboy,The Devil Wears Prada,,7,the-devil-wears-prada,
kurstboy,Nacho Libre,,7,nacho-libre,
kurstboy,Monster House,,7,monster-house,
kurstboy,The Fast and the Furious: Tokyo Drift,,6,the-fast-and-the-furious-tokyo-drift,
kurstboy,Pan's Labyrinth,,8,pans-labyrinth,
kurstboy,Marie Antoinette,2006.0,7,marie-antoinette-2006,
kurstboy,Babel,2006.0,6,babel-2006,
kurstboy,The Host,,10,the-host,
kurstboy,Mission: Impossible III,,8,mission-impossible-iii,
kurstboy,Over the Hedge,,7,over-the-hedge,
kurstboy,Hoot,,3,hoot,
kurstboy,The Benchwarmers,,3,the-benchwarmers,
kurstboy,Ice Age: The Meltdown,,4,ice-age-the-meltdown,
kurstboy,Inside Man,,8,inside-man,
kurstboy,Cars,,7,cars,
kurstboy,The Shaggy Dog,2006.0,2,the-shaggy-dog-2006,
kurstboy,Curious George,,4,curious-george,
kurstboy,The Pink Panther,,8,the-pink-panther,
kurstboy,Old Joy,,10,old-joy,
kurstboy,Little Miss Sunshine,,9,little-miss-sunshine,
kurstboy,High School Musical,,2,high-school-musical,
kurstboy,Cheaper by the Dozen 2,,6,cheaper-by-the-dozen-2,
kurstboy,Fun with Dick and Jane,1996.0,4,fun-with-dick-and-jane-1996,
kurstboy,Hoodwinked!,,7,hoodwinked,
kurstboy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,5,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe,
kurstboy,King Kong,2005.0,7,king-kong-2005,
kurstboy,"Yours, Mine & Ours",,2,yours-mine-ours,
kurstboy,Chicken Little,2005.0,6,chicken-little-2005,
kurstboy,Pride & Prejudice,,10,pride-prejudice,
kurstboy,Goal!,2005.0,7,goal-2005,
kurstboy,Corpse Bride,,7,corpse-bride,
kurstboy,Wallace & Gromit: The Curse of the Were-Rabbit,,8,wallace-gromit-the-curse-of-the-were-rabbit,
