title,year,clean_title,appearance_count
Alien³,,alien,29
The Evil Dead,,evil dead,28
Final Destination,,final destination,24
Anora,,anora,19
Arrival,2016.0,arrival,19
Baby Driver,,baby driver,19
Barbie,,barbie,19
Bottoms,,bottoms,19
Challengers,,challengers,19
Deadpool,,deadpool,19
Drive,2011.0,drive,19
Dune,2021.0,dune,19
Dune: Part Two,,dune part two,19
Enemy,,enemy,19
Everything Everywhere All at Once,,everything everywhere all at once,19
Furiosa: A Mad Max Saga,,furiosa mad max saga,19
Get Out,2017.0,get out,19
Glass Onion,,glass onion,19
Gone Girl,,gone girl,19
Inception,,inception,19
Knives Out,2019.0,knives out,19
La La Land,,la la land,19
Lady Bird,,lady bird,19
Mad Max: Fury Road,,mad max fury road,19
Nightcrawler,,nightcrawler,19
Nope,,nope,19
Nosferatu,2024.0,nosferatu,19
Once Upon a Time... in Hollywood,,once upon time in hollywood,19
Oppenheimer,2023.0,oppenheimer,19
Parasite,2019.0,parasite,19
Scott Pilgrim vs. the World,,scott pilgrim vs world,19
Shiva Baby,2020.0,shiva baby,19
Tenet,,tenet,19
The Favourite,,favourite,19
The Grand Budapest Hotel,,grand budapest hotel,19
The Holdovers,,holdovers,19
The Killer,2023.0,killer,19
The Lobster,,lobster,19
The Menu,2022.0,menu,19
The Social Network,,social network,19
The Substance,,substance,19
"Three Billboards Outside Ebbing, Missouri",,three billboards outside ebbing missouri,19
Uncut Gems,,uncut gems,19
Us,2019.0,us,19
Whiplash,2014.0,whiplash,19
10 Cloverfield Lane,,10 cloverfield lane,18
A Quiet Place,2018.0,quiet place,18
Aftersun,,aftersun,18
Anatomy of a Fall,,anatomy of fall,18
Ant-Man,,antman,18
Avatar,,avatar,18
Avatar: The Way of Water,,avatar way of water,18
Avengers: Endgame,,avengers endgame,18
Avengers: Infinity War,,avengers infinity war,18
Barbarian,2022.0,barbarian,18
Birdman or (The Unexpected Virtue of Ignorance),,birdman or unexpected virtue of ignorance,18
BlacKkKlansman,,blackkklansman,18
Blade Runner 2049,2049.0,blade runner 2049,18
Call Me by Your Name,,call me by your name,18
Captain America: Civil War,,captain america civil war,18
Conclave,,conclave,18
Django Unchained,,django unchained,18
Dunkirk,2017.0,dunkirk,18
Eternal Sunshine of the Spotless Mind,,eternal sunshine of spotless mind,18
Ex Machina,2015.0,ex machina,18
Fantastic Mr. Fox,,fantastic mr fox,18
Game Night,,game night,18
Good Time,,good time,18
Guardians of the Galaxy Vol. 2,,guardians of galaxy vol 2,18
Her,,her,18
Hereditary,,hereditary,18
Inglourious Basterds,,inglourious basterds,18
Inside Out,2015.0,inside out,18
Interstellar,,interstellar,18
Jaws,,jaws,18
Jojo Rabbit,,jojo rabbit,18
Joker,2019.0,joker,18
Joker: Folie à Deux,,joker folie deux,18
Killers of the Flower Moon,,killers of flower moon,18
Last Night in Soho,,last night in soho,18
Licorice Pizza,,licorice pizza,18
Little Women,2019.0,little women,18
Longlegs,,longlegs,18
Love Lies Bleeding,2024.0,love lies bleeding,18
Marriage Story,2019.0,marriage story,18
Midsommar,,midsommar,18
Moonlight,2016.0,moonlight,18
Moonrise Kingdom,,moonrise kingdom,18
Paddington 2,,paddington 2,18
Palm Springs,2020.0,palm springs,18
Pearl,2022.0,pearl,18
Poor Things,2023.0,poor things,18
Priscilla,,priscilla,18
Pulp Fiction,,pulp fiction,18
Sinners,2025.0,sinners,18
Spencer,2021.0,spencer,18
Spider-Man: Across the Spider-Verse,,spiderman across spiderverse,18
Spider-Man: Far From Home,,spiderman far from home,18
Spider-Man: Homecoming,,spiderman homecoming,18
Spider-Man: Into the Spider-Verse,,spiderman into spiderverse,18
Talk to Me,2022.0,talk to me,18
Texas Chainsaw Massacre,,texas chainsaw massacre,18
The Amazing Spider-Man,,amazing spiderman,18
The Avengers,2012.0,avengers,18
The Banshees of Inisherin,,banshees of inisherin,18
The Dark Knight,,dark knight,18
The Dark Knight Rises,,dark knight rises,18
The Florida Project,,florida project,18
The Hunger Games,,hunger games,18
The Hunger Games: Catching Fire,,hunger games catching fire,18
The Hunger Games: Mockingjay – Part 1,,hunger games mockingjay part 1,18
The Nice Guys,,nice guys,18
The Northman,,northman,18
The Shining,,shining,18
The Suicide Squad,,suicide squad,18
The Witch,2015.0,witch,18
The Wolf of Wall Street,,wolf of wall street,18
The Zone of Interest,,zone of interest,18
Thor: Ragnarok,,thor ragnarok,18
Trap,2024.0,trap,18
X,2022.0,x,18
Alien: Romulus,,alien romulus,17
Avengers: Age of Ultron,,avengers age of ultron,17
Babylon,2022.0,babylon,17
Batman Begins,,batman begins,17
Beast,,beast,17
Before Sunrise,,before sunrise,17
Black Panther,,black panther,17
Booksmart,,booksmart,17
Captain America: The Winter Soldier,,captain america winter soldier,17
Carol,2015.0,carol,17
Coco,2017.0,coco,17
